empNum,empName,empGender,empBirthday,empCity,empState,empCountry
1,ALINE ALMEIDA,F,1/1/1990,sao paulo,sp,brasil
2,,M,2/2/1990,campinas,sp,brasil
3,ARON ANDRADE,M,3/3/1990,santos,sp,brasil
4,ADA BARBOSA,,4/4/1990,santo andre,sp,brasil
5,ABADE BATISTA,M,5/5/1990,piracicaba,sp,brasil
6,ABADI BARROS,M,6/6/1990,sao carlos,sp,brasil
7,ABADIA BORGES,F,7/7/1990,ribeirao preto,sp,brasil
8,ABADIAS CAMPOS,M,,ilha bela,sp,brasil
9,ABADIO CARDOSO,M,9/9/1990,sao jose do rio preto,sp,brasil
10,ADETE CARVALHO,M,10/10/1990,osasco,sp,brasil
11,ABD CASTRO,M,11/11/1990,araraquara,sp,brasil
12,ABDA COSTA,F,12/12/1990,barueri,sp,brasil
13,ABDIEL DIAS,M,13/1/1990,rio de janeiro,rj,brasil
14,ABDALA DUARTE,M,14/2/1990,ilheus,rj,brasil
15,ABDALLA FREITAS,M,15/3/1990,angra,rj,brasil
16,ABDALLA FERNANDES,M,16/4/1990,,,brasil
17,ABDAO FERREIRA,M,17/5/1990,belo horizonte,mg,brasil
18,ABDER GARCIA,M,18/6/1990,araguari,mg,brasil
19,ABDIEL GOMES,M,19/7/1990,ouro preto,mg,brasil
20,ABDIEL LIMA,M,20/8/1990,monte verde,mg,brasil
21,ABDENAGO ALMEIDA,M,21/9/1990,curitiba,pr,brasil
22,ABDENEGO ALVES,M,22/10/1990,londrina,pr,brasil
23,ABDENICO ANDRADE,M,23/11/1990,guaratuba,pr,brasil
24,ABDENIGO BARBOSA,M,24/12/1990,morretes,pr,brasil
25,ABDENIO BATISTA,M,25/1/1990,recife,pe,brasil
26,ABDENOR BARROS,M,26/2/1990,recife,pe,brasil
27,ABDER BORGES,M,27/3/1990,recife,pe,brasil
28,ABDERMAN CAMPOS,M,28/4/1990,sao paulo,sp,brasil
29,ABDI CARDOSO,M,29/5/1990,campinas,sp,brasil
30,ABDIA CARVALHO,M,30/6/1990,santos,sp,brasil
31,ABDIAS CASTRO,M,31/7/1990,santo andre,sp,brasil
32,,M,1/8/1990,,,
33,ABDISIO DIAS,M,2/9/1990,sao carlos,sp,brasil
34,ABDNEGO DUARTE,M,3/10/1990,ribeirao preto,sp,brasil
35,ABDO FREITAS,M,4/11/1990,ilha bela,sp,brasil
36,ABDON FERNANDES,M,5/12/1990,sao jose do rio preto,sp,brasil
37,ABDON FERREIRA,M,6/1/1990,osasco,sp,brasil
38,ABDORAL GARCIA,M,7/2/1990,araraquara,sp,brasil
39,ABDU GOMES,M,8/3/1990,barueri,sp,brasil
40,ABDIEL LIMA,M,9/4/1990,rio de janeiro,rj,brasil
41,ADER ALMEIDA,M,10/5/1990,ilheus,rj,brasil
42,ADECIO ALVES,M,11/6/1990,angra,rj,brasil
43,ABEDENEGO ANDRADE,M,12/7/1990,praia seca,rj,brasil
44,ABEDIAS BARBOSA,M,13/8/1990,belo horizonte,mg,brasil
45,ADEBAL BATISTA,M,14/9/1990,araguari,mg,brasil
46,ABEDNEGO BARROS,M,15/10/1990,ouro preto,mg,brasil
47,ABEDON BORGES,M,16/11/1990,monte verde,mg,brasil
48,ABEGAIL CAMPOS,F,17/12/1990,curitiba,pr,brasil
49,ADEJAIR CARDOSO,F,18/1/1990,londrina,pr,brasil
50,ABELARD CARVALHO,M,19/2/1990,guaratuba,pr,brasil
51,ADEILDO CASTRO,M,20/3/1950,morretes,pr,brasil
64,ABILIO BARBOSA,M,3/4/1963,,sp,
86,ADENILDE BARROS,,25/2/1985,,,
90,,,29/6/1989,sao jose do rio preto,sp,brasil
67,ADELMA BORGES,M,6/7/1966,,rj,brasil
83,ADENIAS ANDRADE,,22/11/1982,campinas,sp,
